name,icao,latitude,longitude,adress,city,country
LA-ROCHELLE-ILE-DE-RE,LFBH,46.17919921875,-1.1952799558639526,Route du Jura LA ROCHELLE 17000,La Rochelle,FR
LANNION,LFRO,48.754398345947266,-3.4716598987579346,Avenue Pierre Marzin LANNION 22300,Lannion,FR
LAVAL-ENTRAMMES,LFOV,48.03139877319336,-0.7429860234260559,ENTRAMMES 53260,Laval,FR
LE CASTELLET AIRPORT,LFMQ,43.252498626708984,5.785190105438232,,Le Castellet,FR
LE LUC-LE CANNET AIRPORT,LFMC,43.384700775146484,6.387139797210693,,Le Cannet,FR
LE-HAVRE-OCTEVILLE-SUR-MER,LFOH,49.53390121459961,0.08805599808692932,Rue Louis Blériot LE HAVRE 76620,Le Havre,FR
LE-MANS-ARNAGE,LFRM,47.94860076904297,0.20166699588298798,CCI du Mans -B.P. 22385 LE MANS CEDEX 72002,Le Mans,FR
LE-PUY-LOUDES,LFHP,45.0806999206543,3.762890100479126,LOUDES 43320,Le Puy,FR
LE-TOUQUET-PARIS-PLAGE,LFAT,50.517398834228516,1.6205899715423584,LE TOUQUET PARIS PLAGE 62520,Le Touquet,FR
LIBOURNE-ARTIGUES-DE-LUSSAC AIRPORT,LFDI,44.982498,-0.134722,,Libourne,FR
LILLE-LESQUIN,LFQQ,50.563332,3.086886,B.P. 227 LESQUIN CEDEX 59812,Lille,FR
LIMOGES-BELLEGARDE,LFBL,45.86280059814453,1.1794400215148926,LIMOGES 87100,Limoges,FR
LORIENT-LANN-BIHOUE,LFRH,47.76060104370117,-3.440000057220459,PLOEMEUR 56270,Lorient,FR
LYON-BRON-BRON,LFLY,45.72719955444336,4.944270133972168,BRON 69500,Lyon,FR
LYON-SAINT-EXUPERY,LFLL,45.725556,5.081111,B.P. 113 LYON SAINT EXUPERY AEROPORT 69125,Lyon,FR
MÂCON-CHARNAY AIRPORT,LFLM,46.295101,4.79577,,Mâcon,FR
MARSEILLE-PROVENCE,LFML,43.439271922,5.22142410278,B.P. 7 - Aéroport MARIGNANE CEDEX 13727,Marseille,FR
MAUBEUGE-ÉLESMES AIRPORT,LFQJ,50.31050109863281,4.033120155334473,,Maubeuge,FR
MENDE-BRENOUX AIRPORT,LFNB,44.50210189819336,3.532819986343384,,Mende,FR
METZ-NANCY-LORRAINE,LFJL,48.9821014404,6.25131988525,B.P. 21 - Route de Vigny GOIN 57420,Metz,FR
MONTAUBAN AIRPORT,LFDB,44.025699615478516,1.3780399560928345,,Montauban,FR
MONTBÉLIARD-COURCELLES AIRFIELD,LFSM,47.487,6.79054,,Montbéliard,FR
MONTLUCON-GUERET,LFBK,46.222599029541016,2.363960027694702,LEPAUD 23170,Montlucon,FR
MONTPELLIER-MEDITERRANEE,LFMT,43.57619857788086,3.96301007270813,CS 10001 MAUGUIO CEDEX 34137,Montpellier,FR
MORLAIX-PLOUJEAN,LFRU,48.6031990051,-3.81577992439,CCI de Morlaix - B.P. 6 MORLAIX 29201,Morlaix,FR
NANCY-ESSEY AIRPORT,LFSN,48.692100524902344,6.230460166931152,,Nancy,FR
NANTES-ATLANTIQUE,LFRS,47.153198242200006,-1.61073005199,CCI NANTES BOUGUENAIS4 4340,Nantes,FR
NEVERS-FOURCHAMBAULT AIRPORT,LFQG,47.002601623535156,3.1133298873901367,,Nevers,FR
NICE-COTE-D'AZUR,LFMN,43.6584014893,7.215869903560001,CCI NCA - B.P. 3331 NICE CEDEX 36206,Nice,FR
NIMES-GARONS-,LFTW,43.75740051269531,4.4163498878479,SAINT GILLES 30800,Nimes,FR
NIORT-SOUCHE,LFBN,46.313477,-0.394529,Avenue de Limoges NOIRT 79000,Niort,FR
PARIS-CHARLES-DE-GAULLE,LFPG,49.0127983093,2.54999995232,BP 20102 ROISSY 95711 CEDEX,Paris,FR
PARIS-ORLY,LFPO,48.7233333,2.3794444,Aéroport de Paris-Orly Orly Sud 103 ORLY AEROGARE 94396,Paris,FR
PAU-PYRENEES,LFBP,43.380001068115234,-0.41861099004745483,UZEIN 64230,Pau,FR
PERIGUEUX-BASSILLAC,LFBX,45.19810104370117,0.815555989742279,PERIGUEUX 24000,Perigueux,FR
PÉRONNE-SAINT-QUENTIN AIRPORT,LFAG,49.8685,3.02958,,Péronne,FR
PERPIGNAN-RIVESALTES,LFMP,42.74039840698242,2.8706700801849365,Avenue Maurice Bellonte PERPIGNAN 66000,Perpignan,FR
POITIERS-BIARD,LFBI,46.58769989013672,0.30666598677635193,BIARD 86580,Poitiers,FR
QUIMPER-PLUGUFFAN,LFRQ,47.974998474121094,-4.167789936065674,PLUGUFFAN 29700,Quimper,FR
RENNES-ST-JACQUES,LFRN,48.069499969499994,-1.73478996754,Avenue Joseph Le Brix - B.P. 29155 RENNES 35091,Rennes,FR
ROANNE-RENAISON,LFLO,46.05830001831055,4.001389980316162,SAINT LEGER SUR ROANNE 42155,Roanne,FR
ROCHEFORT-ST-AGNANT,LFDN,45.88779830932617,-0.9830560088157654,La Sauzaie ROCHEFORT SAINT AGNANT 17620,Rochefort,FR
RODEZ-MARCILLAC,LFCR,44.407901763916016,2.4826700687408447,SALLES LA SOURCES 12330,Rodez,FR
ROUEN-VALLEE-DE-SEINE,LFOP,49.38420104980469,1.1748000383377075,BOOS 76520,Rouen,FR
ROYAN-MÉDIS AIRPORT,LFCY,45.62810134887695,-0.9725000262260437,,Royan,FR
SAINT-BRIEUC-ARMOR,LFRT,48.5378,-2.85444,TREMON 22440,St. Brieuc,FR
SAINT-ETIENNE-BOUTHEON,LFMH,45.54059982299805,4.296390056610107,ANDREZIEUX BOUTHEON 42160,St. Etienne,FR
SAINT-NAZAIRE-MONTOIR,LFRZ,47.3105556,-2.1566667,MONTOIR EN BRETAGNE 44550,St. Nazaire,FR
SAINT-YAN AIRPORT,LFLN,46.412498474121094,4.0132598876953125,,St. Yan,FR
